Home_Name,Unit_Name,SAP,First_Name,Last_Name,Role,Team,Shift_Pattern,Hours_Per_Week,Password
NEW_HOME,Unit_1,100001,John,Smith,SSCW,A,Pattern_2,35,Password123##
NEW_HOME,Unit_1,100002,Jane,Doe,SSCWN,B,Pattern_2,35,Password123##
NEW_HOME,Unit_1,100003,Michael,Johnson,SCW,C,Pattern_2,35,Password123##
NEW_HOME,Unit_1,100004,Sarah,Williams,SCWN,A,Pattern_2,35,Password123##
NEW_HOME,Unit_1,100005,David,Brown,SCA,B,Pattern_1,24,Password123##
NEW_HOME,Unit_1,100006,Emma,Jones,SCAN,C,Pattern_1,24,Password123##
NEW_HOME,Unit_2,100007,James,Taylor,SSCW,A,Pattern_2,35,Password123##
NEW_HOME,Unit_2,100008,Olivia,Davies,SSCWN,B,Pattern_2,35,Password123##
NEW_HOME,Unit_2,100009,William,Evans,SCW,C,Pattern_2,35,Password123##
NEW_HOME,Unit_2,100010,Sophie,Wilson,SCWN,A,Pattern_2,35,Password123##
NEW_HOME,Unit_2,100011,Thomas,Moore,SCA,B,Pattern_1,24,Password123##
NEW_HOME,Unit_2,100012,Isabella,Taylor,SCAN,C,Pattern_1,24,Password123##
NEW_HOME,Management,100013,Robert,Anderson,OM,MGMT,Pattern_3,37.5,Password123##
NEW_HOME,Management,100014,Jennifer,Thomas,SM,MGMT,Pattern_3,37.5,Password123##
